query_text,language,intent
Recommend a travel book,English,entertainment
How long is Machu Picchu?,English,information
Show me the fastest route to school,English,navigation
Take me to Miami,English,navigation
Directions to the nearest dog park,English,navigation
Set a timer for 5 minutes,English,command
Take me to the nearest dog park,English,navigation
Compare prices for headphones,English,shopping
Navigate to the city center,English,navigation
Joue les dernières bandes-annonces,French,entertainment
How does DNA work?,English,information
मुझे एक पॉडकास्ट सुझाओ,Hindi,entertainment
Who stars in Oppenheimer?,English,entertainment
Show me the fastest route to Boston,English,navigation
How do I get to Miami?,English,navigation
Order sleeping bag online,English,shopping
Find the cheapest air purifier,English,shopping
Find nature books rated PG-13,English,entertainment
Find a scenic route to the airport,English,navigation
Set an alarm for 5 PM,English,command
What is quantum computing?,English,information
When is the midterm elections?,English,information
What's the origin of the internet?,English,information
Find a scenic route to the hotel,English,navigation
Set an alarm for 1 PM,English,command
Define SEO,English,information
What is virtual reality?,English,information
Show me romance movies on Disney Plus,English,entertainment
Find deals on keyboard,English,shopping
How far is the park from here?,English,navigation
What is relativity?,English,information
Take me to the nearest florist,English,navigation
Show me nature movies on Amazon Prime,English,entertainment
How far is the university from here?,English,navigation
What is the capital of Mexico?,English,information
How deep is the Colosseum?,English,information
What is blockchain?,English,information
Check my email,English,command
What's trending on Paramount Plus?,English,entertainment
Schedule a meeting for Monday,English,command
Order sneakers online,English,shopping
Play the top 50 hits,English,entertainment
Schedule a call for Tuesday,English,command
Play an audiobook by Malcolm Gladwell,English,entertainment
Order laptop from Target,English,shopping
How do you say food in Japanese?,English,information
Order a replacement yoga mat,English,shopping
Show me viral videos tonight,English,entertainment
Find the best deal on office chair,English,shopping
What's the best route to the park?,English,navigation
Tell me about the Great Barrier Reef,English,information
What are the BAFTA nominees this year?,English,entertainment
Restock onions,English,shopping
Compare prices for sneakers,English,shopping
Find a cheap bike shop nearby,English,navigation
Turn on the microphone,English,command
Where is the closest hardware store?,English,navigation
What language do they speak in France?,English,information
Navigate to the nearest laundromat,English,navigation
Show me banks near the beach,English,navigation
How far is the church from here?,English,navigation
Reply to Alex's message,English,command
Add dog food to my cart,English,shopping
What's new on Crunchyroll?,English,entertainment
Route to the beach,English,navigation
Add bread to my shopping list,English,shopping
Restock batteries,English,shopping
Find the nearest barber shop,English,navigation
Show me reviews for portable charger,English,shopping
Open Slack,English,command
Show me newest camera,English,shopping
Where can I buy sunglasses nearby?,English,shopping
Reply to Mom's message,English,command
What is evolution?,English,information
Tell me about Niagara Falls,English,information
Add laundry detergent to my shopping list,English,shopping
Show me banks near Miami,English,navigation
Compare prices for winter jacket,English,shopping
Find the best deal on portable charger,English,shopping
How old is the Olympic Games?,English,information
Show me podcasts by Travis Scott,English,entertainment
Show me reviews for rain jacket,English,shopping
Show me the fastest route to the office,English,navigation
Buy gaming mouse,English,shopping
Order wireless earbuds from Walmart,English,shopping
What are the Great Wall of China?,English,information
What are the symptoms of insomnia?,English,information
¿Quién ganó el partido anoche?,Spanish,information
What's the origin of the Nobel Prize?,English,information
Who stars in The Godfather?,English,entertainment
Find deals on electric toothbrush,English,shopping
Buy a new water bottle,English,shopping
How far is Moscow from Tokyo?,English,information
Who stars in Avatar?,English,entertainment
Who stars in Spider-Man?,English,entertainment
Show me the fastest route to the botanical garden,English,navigation
Compare prices for robot vacuum,English,shopping
Add bananas to my shopping list,English,shopping
Tell me about the United Nations,English,information
Show me today's deals on DoorDash,English,shopping
Recommend a nature documentary,English,entertainment
How do you say beautiful in Korean?,English,information
Show me nature movies on Crunchyroll,English,entertainment
What is the meaning of ambiguous?,English,information
How do I get to Boston?,English,navigation
Buy a new monitor,English,shopping
Where can I buy umbrella nearby?,English,shopping
What are the symptoms of diabetes?,English,information
What is the capital of Argentina?,English,information
Find a scenic route to the zoo,English,navigation
Set the brightness to 75 degrees,English,command
Find the best deal on hiking boots,English,shopping
Order skateboard online,English,shopping
What's the weather in Berlin?,English,information
What is gene editing?,English,information
Turn up the thermostat,English,command
Navigate to the nearest hardware store,English,navigation
Find portable sunglasses under $500,English,shopping
最寄りのガソリンスタンドはどこ?,Japanese,navigation
Restock salmon,English,shopping
Donne-moi les titres des actualités,French,information
Where is the closest auto repair shop?,English,navigation
Play Coldplay,English,entertainment
Book a pet sitter near me,English,shopping
Verfolge meine Amazon-Bestellung,German,shopping
Turn up the volume,English,command
Take me to the nearest gas station,English,navigation
Was ist gerade beliebt auf Netflix?,German,entertainment
Show me reviews for camera,English,shopping
Directions to the marina,English,navigation
Find the cheapest gaming mouse,English,shopping
Stream game live,English,entertainment
Where can I buy skateboard nearby?,English,shopping
When was the Great Wall of China built?,English,information
What's new on HBO Max?,English,entertainment
Qui a gagné le match hier soir?,French,information
导航回家,Mandarin,navigation
How long to drive to the courthouse?,English,navigation
What does RSVP stand for?,English,information
Add potatoes to my shopping list,English,shopping
Recomende um podcast para mim,Portuguese,entertainment
Spiel mein Lieblingslied ab,German,entertainment
Switch to night mode,English,command
Navigate to the waterfront,English,navigation
Where can I buy mattress nearby?,English,shopping
What language do they speak in Japan?,English,information
Send a text to Emily,English,command
What is machine learning?,English,information
Buy a new hair dryer,English,shopping
How does cloud computing work?,English,information
Show me viral videos this week,English,entertainment
Compare prices for bicycle,English,shopping
Show traffic on my commute,English,navigation
Definiere künstliche Intelligenz,German,information
Show road conditions on my commute,English,navigation
Show me R&B movies on Tidal,English,entertainment
昨夜の試合は誰が勝った?,Japanese,information
今日のニュースの見出しを教えて,Japanese,information
What time is it in Sydney?,English,information
Cancel my voicemail,English,command
Subscribe to a locksmith,English,shopping
Order umbrella online,English,shopping
How long to drive to the ferry terminal?,English,navigation
追踪我的亚马逊订单,Mandarin,shopping
Compare prices for blender,English,shopping
Add tea to my shopping list,English,shopping
Buy a gift for my partner,English,shopping
Unlock the air conditioning,English,command
Order burgers for delivery,English,shopping
Play happy music for studying,English,entertainment
How do I avoid the toll road?,English,navigation
Define VPN,English,information
Navigate to the nearest dentist,English,navigation
Set the timer to 50%,English,command
Turn off the fan,English,command
人工知能を定義して,Japanese,information
Find Prime Day deals,English,shopping
What is the capital of Indonesia?,English,information
電気を消して,Japanese,command
Find deals on vitamins,English,shopping
Define AI,English,information
How long to drive to the city center?,English,navigation
What's the top book on Disney Plus?,English,entertainment
Add apples to my shopping list,English,shopping
Trouve le café le plus proche,French,navigation
Reply to my boss's message,English,command
Joue ma chanson préférée,French,entertainment
Find the nearest urgent care,English,navigation
What is the capital of Sweden?,English,information
What's the top podcast on Amazon Prime?,English,entertainment
What's the weather in London?,English,information
Open WhatsApp,English,command
What's the distance of Stonehenge?,English,information
Route to the community center,English,navigation
What's the best route to the university?,English,navigation
Show me viral videos tomorrow,English,entertainment
Set a timer for 2 hours,English,command
Compare Nike and Adidas shoes,English,shopping
Directions to the nearest bike shop,English,navigation
What's trending on Tidal?,English,entertainment
Add orange juice to my cart,English,shopping
Navigate to mom's house,English,navigation
Busca tiendas de ropa cercanas,Spanish,shopping
Compare prices for desk lamp,English,shopping
O que está em alta na Netflix?,Portuguese,entertainment
Find a scenic route to the vet,English,navigation
Who stars in Barbie?,English,entertainment
What causes tsunamis?,English,information
Call Sarah,English,command
Tell me about the Grand Canyon,English,information
How old is the Super Bowl?,English,information
Unlock the lights,English,command
Order pizza for delivery,English,shopping
How long to drive to the train station?,English,navigation
Find the nearest library,English,navigation
How does blockchain work?,English,information
Find the best deal on running shoes,English,shopping
Show me the fastest route to San Francisco,English,navigation
Open the weather app,English,command
What's the origin of the Amazon River?,English,information
What time is it in Lagos?,English,information
Add tortillas to my cart,English,shopping
Directions to the nearest gas station,English,navigation
Find deals on contact lenses,English,shopping
How wide is the Taj Mahal?,English,information
Quelle est la hauteur de la Tour Eiffel?,French,information
Rastrea mi pedido de Amazon,Spanish,shopping
Remind me to do laundry at 10 PM,English,command
What are NASA?,English,information
How long to drive to the beach?,English,navigation
Add chicken to my cart,English,shopping
Turn off the front door,English,command
Order a replacement hiking boots,English,shopping
Who won the the next World Cup last season?,English,information
Switch to airplane mode,English,command
How long to drive to the botanical garden?,English,navigation
Turn on the living room lights,English,command
What's the top documentary on Hulu?,English,entertainment
What's the score of the Eagles game?,English,entertainment
Book a locksmith near me,English,shopping
Add trash bags to my cart,English,shopping
Bestell mir eine Pizza,German,shopping
Play an audiobook by James Patterson,English,entertainment
Add milk to my cart,English,shopping
Find the best deal on phone case,English,shopping
Show me reviews for phone case,English,shopping
Schedule a dinner for Saturday,English,command
Buy drone,English,shopping
Remind me to call the dentist at 7 AM,English,command
Find the cheapest hiking boots,English,shopping
What is the capital of Kenya?,English,information
播放最新电影预告片,Mandarin,entertainment
Como chegar ao Central Park?,Portuguese,navigation
Order portable charger from DoorDash,English,shopping
Start reminder,English,command
Find a scenic route to the botanical garden,English,navigation
Define NASA,English,information
How much does running shoes cost?,English,shopping
Show me shows by Coldplay,English,entertainment
Pon mi canción favorita,Spanish,entertainment
Play Kendrick Lamar,English,entertainment
How do you say food in Spanish?,English,information
What are the Golden Globe nominees this year?,English,entertainment
Show me reviews for fitness tracker,English,shopping
Show me the fastest route to the city center,English,navigation
How far is Paris from Toronto?,English,information
Find a EV charger near me,English,navigation
Tell me about the Constitution,English,information
Remind me about workout at 3 PM,English,command
What is the capital of Turkey?,English,information
Navigate to work,English,navigation
Find a scenic route to work,English,navigation
How does relativity work?,English,information
Is the Sahara Desert wide?,English,information
Track my Whole Foods order,English,shopping
How many feet in a mile?,English,information
What are the symptoms of high blood pressure?,English,information
Find the nearest hotel,English,navigation
Open my email,English,command
How many bones are in the human body?,English,information
How does nuclear fusion work?,English,information
What's the population of the internet?,English,information
Find the cheapest drone,English,shopping
Show me the fastest route to the park,English,navigation
Find a bank near me,English,navigation
What time does the game start?,English,entertainment
Order yoga mat online,English,shopping
How do I get to Times Square?,English,navigation
Navigate to the botanical garden,English,navigation
Turn on the sprinklers,English,command
Is there a subway station ahead?,English,navigation
Order a replacement water bottle,English,shopping
Find the cheapest rain jacket,English,shopping
Buy a new robot vacuum,English,shopping
Send a text to Sarah,English,command
Start emails,English,command
Define ASAP,English,information
What's the origin of Mount Everest?,English,information
What time is it in Seoul?,English,information
Where can I buy electric toothbrush nearby?,English,shopping
Show me today's deals on Costco,English,shopping
Take me to the nearest fire station,English,navigation
Read my last timer,English,command
Directions to the airport,English,navigation
Find the nearest movie theater,English,navigation
What's trending on Apple Music?,English,entertainment
Add eggs to my shopping list,English,shopping
Quel temps fait-il aujourd'hui?,French,information
Show me reviews for printer,English,shopping
Order tent online,English,shopping
What are the Pyramids of Giza?,English,information
Find deals on iron,English,shopping
Show me today's deals on Instacart,English,shopping
Find the best deal on drone,English,shopping
What's the best route to San Francisco?,English,navigation
How does gravity work?,English,information
Buy a new gaming mouse,English,shopping
Open the banking app,English,command
Order a replacement rain jacket,English,shopping
What is the capital of South Korea?,English,information
Turn on the heater,English,command
Who won the the spring equinox last season?,English,information
Call the restaurant,English,command
Show me the fastest route to downtown,English,navigation
Play the latest Beyoncé album,English,entertainment
Find a coffee shop with a car wash,English,navigation
Take me to the nearest rest stop,English,navigation
What language do they speak in Morocco?,English,information
How long to drive to the dentist?,English,navigation
Show me today's deals on Best Buy,English,shopping
Set a timer for 10 minutes,English,command
Send a text to Dad,English,command
Order a replacement sneakers,English,shopping
Find a kid-friendly bank nearby,English,navigation
Find deals on sleeping bag,English,shopping
What language do they speak in Portugal?,English,information
Turn off the garage door,English,command
Stop the oven,English,command
How far is San Francisco from here?,English,navigation
आज मौसम कैसा है?,Hindi,information
Play focus playlist,English,entertainment
Is there a florist ahead?,English,navigation
How does plate tectonics work?,English,information
Find the best deal on rain jacket,English,shopping
How do I avoid the interstate?,English,navigation
How does the greenhouse effect work?,English,information
Track my Amazon order,English,shopping
What causes droughts?,English,information
Where can I buy resistance bands nearby?,English,shopping
Directions to downtown,English,navigation
How does autonomous driving work?,English,information
How many planets are in the solar system?,English,information
How does electric cars work?,English,information
Is there a pharmacy ahead?,English,navigation
Play Morgan Wallen,English,entertainment
Recommend a classical podcast,English,entertainment
How old is Mount Everest?,English,information
Set the thermostat to 80%,English,command
Show me R&B movies on Netflix,English,entertainment
Remind me about workout this evening,English,command
Find a pet store near me,English,navigation
Order a replacement tent,English,shopping
Find the cheapest water bottle,English,shopping
Recomiéndame un podcast de tecnología,Spanish,entertainment
Find a post office with Wi-Fi,English,navigation
Play an audiobook by Michelle Obama,English,entertainment
Stop the living room lights,English,command
नज़दीकी पेट्रोल पंप खोजो,Hindi,navigation
Send Alex a message saying call me back,English,command
Stop the sprinklers,English,command
Remind me about dinner at 3 PM,English,command
Who invented Machu Picchu?,English,information
How does natural selection work?,English,information
Find a coupon for Amazon,English,shopping
Where is the closest ATM?,English,navigation
What's new on Paramount Plus?,English,entertainment
What's the score of the Patriots game?,English,entertainment
Directions to the courthouse,English,navigation
Turn off the oven,English,command
Set an alarm for 7:30 AM,English,command
Unlock the microphone,English,command
What are the Grammy nominees this year?,English,entertainment
Directions to the nearest dentist,English,navigation
How much does phone case cost?,English,shopping
Call Dad,English,command
Who stars in The Batman?,English,entertainment
Directions to the nearest urgent care,English,navigation
What does UNESCO stand for?,English,information
Show me portable keyboard,English,shopping
Schedule a study session for tomorrow,English,command
Schedule a dinner for Friday,English,command
How much does air purifier cost?,English,shopping
How far is it to the next grocery store?,English,navigation
Set the brightness to maximum,English,command
What's the best route to mom's house?,English,navigation
Turn off the air conditioning,English,command
When was NASA built?,English,information
Where is the closest post office?,English,navigation
Add bread to my cart,English,shopping
Spiel die neuesten Filmtrailer ab,German,entertainment
Is there a grocery store ahead?,English,navigation
How much does winter jacket cost?,English,shopping
Turn off the kitchen lights,English,command
Compare prices for tent,English,shopping
Directions to the nearest movie theater,English,navigation
Remind me to water the plants at 10 AM,English,command
Find deals on yoga mat,English,shopping
Find a urgent care near me,English,navigation
When is New Year's Eve?,English,information
Schedule a meeting for Friday,English,command
What causes tornadoes?,English,information
Stop the heater,English,command
Compare prices for gaming mouse,English,shopping
Cancel my notification,English,command
Resume the bedroom lights,English,command
Take me to the mall,English,navigation
What time does the match start?,English,entertainment
How do I get to the hotel?,English,navigation
Open TikTok,English,command
When was the Colosseum created?,English,information
Find a car wash near me,English,navigation
Route to the courthouse,English,navigation
What's the weather in Tokyo?,English,information
Call Alex,English,command
Finde das nächste Café,German,navigation
Order a replacement office chair,English,shopping
Find a photographer nearby,English,shopping
What's the best route to the zoo?,English,navigation
告诉我今天的新闻头条,Mandarin,information
How much does sunglasses cost?,English,shopping
Remind me about study session at 3 PM,English,command
Füge Milch zur Einkaufsliste hinzu,German,shopping
Find me a {genre} podcast,English,entertainment
Order a replacement monitor,English,shopping
Send a text to John,English,command
When was Niagara Falls built?,English,information
Navigate to the beach,English,navigation
Set a timer for 30 minutes,English,command
买一副新耳机,Mandarin,shopping
Recommend a action series,English,entertainment
How far is Chicago from here?,English,navigation
Book a cleaner near me,English,shopping
Order mattress online,English,shopping
How does solar panels work?,English,information
Show me podcasts by The Beatles,English,entertainment
What's the stock price of the United Nations?,English,information
What's trending on Spotify?,English,entertainment
Turn off the fireplace,English,command
Show me today's deals on Target,English,shopping
Directions to the nearest pharmacy,English,navigation
Add lettuce to my cart,English,shopping
Turn off the microphone,English,command
Directions to work,English,navigation
Call my doctor,English,command
Resume the lights,English,command
Find the cheapest laptop,English,shopping
How old is the Great Barrier Reef?,English,information
Find the nearest car wash,English,navigation
Find a coupon for DoorDash,English,shopping
Set a timer for 1 hour,English,command
Who is the population of SpaceX?,English,information
Take me to the church,English,navigation
Show me walking directions to the market,English,navigation
Navigate to the church,English,navigation
What are the Oscar nominees this year?,English,entertainment
Who founded the Super Bowl?,English,information
关灯,Mandarin,command
What are the symptoms of asthma?,English,information
Qu'est-ce qui est tendance sur Netflix?,French,entertainment
Resume the porch light,English,command
What's the height of NASA?,English,information
Unlock the kitchen lights,English,command
Show me dog parks near work,English,navigation
Show me walking directions to Central Park,English,navigation
What are the Constitution?,English,information
Turn down the bass,English,command
Find a locksmith nearby,English,shopping
Find a scenic route to the stadium,English,navigation
What's the height of the Colosseum?,English,information
Turn off the living room lights,English,command
Show me today's deals on Whole Foods,English,shopping
Buy a new bicycle,English,shopping
What is nuclear fusion?,English,information
Schedule a meeting for tomorrow,English,command
Encontre o café mais próximo,Portuguese,navigation
How much does suitcase cost?,English,shopping
Show me reviews for sleeping bag,English,shopping
有什么好看的喜剧节目?,Mandarin,entertainment
Add olive oil to my shopping list,English,shopping
Restock diapers,English,shopping
Where can I buy robot vacuum nearby?,English,shopping
Recommend a soul documentary,English,entertainment
怎么去中央公园?,Mandarin,navigation
Order a replacement contact lenses,English,shopping
What language do they speak in Chile?,English,information
Find a bookstore near me,English,navigation
Resume the air conditioning,English,command
How far is the dentist from here?,English,navigation
Where is the closest rest stop?,English,navigation
What does MRI stand for?,English,information
Play The Beatles,English,entertainment
Remind me to submit the report at 7 AM,English,command
How does the stock market work?,English,information
Turn up the brightness,English,command
Play movie trailers,English,entertainment
Where is the closest parking spot?,English,navigation
什么是人工智能?,Mandarin,information
What are the best sports shows right now?,English,entertainment
今天天气怎么样?,Mandarin,information
Ouvre le calendrier,French,command
Add salmon to my shopping list,English,shopping
Toque minha música favorita,Portuguese,entertainment
Order a replacement vitamins,English,shopping
Find deals on rain jacket,English,shopping
Netflixで何が人気?,Japanese,entertainment
Who discovered the human body?,English,information
Find a scenic route to the office,English,navigation
What are the Olympic Games?,English,information
What time is it in São Paulo?,English,information
How far is the gym from here?,English,navigation
Compare prices for running shoes,English,shopping
Is there a EV charger ahead?,English,navigation
What's the weather in Jakarta?,English,information
How does entropy work?,English,information
Remind me to take my medicine at 8 PM,English,command
Take me to the courthouse,English,navigation
What is climate change?,English,information
家までのルートを教えて,Japanese,navigation
What's the origin of the human body?,English,information
Is there a urgent care ahead?,English,navigation
Show me playlists by Taylor Swift,English,entertainment
Rota para casa,Portuguese,navigation
コメディ番組を見せて,Japanese,entertainment
Show me horror movies on Disney Plus,English,entertainment
找附近的服装店,Mandarin,shopping
Remind me to pay the bills at 3 PM,English,command
Stell einen Wecker auf sieben Uhr,German,command
Set an alarm for 6 PM,English,command
Tell me about the Pyramids of Giza,English,information
Find a coupon for Best Buy,English,shopping
Take me to the vet,English,navigation
Buy a new sunglasses,English,shopping
What is plate tectonics?,English,information
Take me to the botanical garden,English,navigation
Buy a new drone,English,shopping
Where is the closest movie theater?,English,navigation
Mach das Licht aus,German,command
Find a good {genre} series,English,entertainment
Compare prices for monitor,English,shopping
What's the origin of NASA?,English,information
How does 3D printing work?,English,information
Check my notification,English,command
Suis mon colis Amazon,French,shopping
Show me bus directions to the office,English,navigation
Navigate to the nearest hotel,English,navigation
How much does robot vacuum cost?,English,shopping
Find the cheapest backpack,English,shopping
What's the top documentary on Spotify?,English,entertainment
Order a replacement winter jacket,English,shopping
How tall is the internet?,English,information
Show me viral videos right now,English,entertainment
What's the best route to the hospital?,English,navigation
Find deals on fitness tracker,English,shopping
How do I get to the courthouse?,English,navigation
Is the Pyramids of Giza wide?,English,information
शॉपिंग लिस्ट में दूध जोड़ो,Hindi,shopping
Navigate to the nearest fire station,English,navigation
Navigate to the nearest post office,English,navigation
Order keyboard online,English,shopping
Directions to the nearest hotel,English,navigation
What's the top show on Apple Music?,English,entertainment
Open Notes,English,command
Turn off the bedroom lights,English,command
Route to the vet,English,navigation
Buy iron,English,shopping
Show me hip hop movies on Disney Plus,English,entertainment
Play the latest Eminem album,English,entertainment
